"SalesStaffCode","SalesStaffName","SalesBranchCode","SalesBranch","SalesCountryCode","SalesCountry","SalesTerritoryCode","TerritoryName"
4,"Denis Pagé",6,"Paris",1,"France",6,"Central Europe"
5,"Élizabeth Michel",6,"Paris",1,"France",6,"Central Europe"
6,"Émile Clermont",6,"Paris",1,"France",6,"Central Europe"
7,"Étienne Jauvin",6,"Paris",1,"France",6,"Central Europe"
19,"Silvano Allessori",7,"Milano",6,"Italy",7,"Southern Europe"
20,"Maria Iacobucci",7,"Milano",6,"Italy",7,"Southern Europe"
21,"Alessandra Torta",7,"Milano",6,"Italy",7,"Southern Europe"
22,"Belinda Jansen-Velasquez",9,"Amsterdam",7,"Netherlands",5,"Northern Europe"
23,"Ellen Shapiro",9,"Amsterdam",7,"Netherlands",5,"Northern Europe"
24,"Jan Haverkamp",9,"Amsterdam",7,"Netherlands",5,"Northern Europe"
25,"Kick Kalkman",9,"Amsterdam",7,"Netherlands",5,"Northern Europe"
26,"Maria Laponder",9,"Amsterdam",7,"Netherlands",5,"Northern Europe"
12,"Elsbeth Wiesinger",13,"Hamburg",2,"Germany",6,"Central Europe"
13,"Else Mörike",13,"Hamburg",2,"Germany",6,"Central Europe"
14,"Frank Fuchs",13,"Hamburg",2,"Germany",6,"Central Europe"
15,"Gunter Erler",13,"Hamburg",2,"Germany",6,"Central Europe"
16,"Björn Winkler",14,"München",2,"Germany",6,"Central Europe"
17,"Fritz Hirsch",14,"München",2,"Germany",6,"Central Europe"
18,"Jörg Kunze",14,"München",2,"Germany",6,"Central Europe"
27,"Anders Nilsson",15,"Kista",10,"Sweden",5,"Northern Europe"
28,"Bengt Gradin",15,"Kista",10,"Sweden",5,"Northern Europe"
29,"Irene Engelbrektsson",15,"Kista",10,"Sweden",5,"Northern Europe"
30,"Karin Bergström",15,"Kista",10,"Sweden",5,"Northern Europe"
43,"Martine Vachon",17,"Calgary",4,"Canada",1,"Americas"
44,"Harold Townsend",17,"Calgary",4,"Canada",1,"Americas"
45,"Sally White",17,"Calgary",4,"Canada",1,"Americas"
46,"Sherry Rowland",17,"Calgary",4,"Canada",1,"Americas"
47,"Frank Bretton",17,"Calgary",4,"Canada",1,"Americas"
48,"Georges Saint-Germain",18,"Toronto",4,"Canada",1,"Americas"
49,"Carole Claudel",18,"Toronto",4,"Canada",1,"Americas"
50,"Donald Chow",18,"Toronto",4,"Canada",1,"Americas"
51,"Samantha Pierce",18,"Toronto",4,"Canada",1,"Americas"
52,"Brendon Pike",18,"Toronto",4,"Canada",1,"Americas"
53,"Alex Rodriguez",19,"Boston",3,"United States",1,"Americas"
54,"Allisia Wilcox",19,"Boston",3,"United States",1,"Americas"
55,"Pierre Lavoie",19,"Boston",3,"United States",1,"Americas"
56,"Rhonda Cummings",19,"Boston",3,"United States",1,"Americas"
69,"Eric Carson",19,"Boston",3,"United States",1,"Americas"
71,"Estelle Johnson",19,"Boston",3,"United States",1,"Americas"
57,"Samantha Floyd",20,"Seattle",3,"United States",1,"Americas"
58,"Ashley McCormick",20,"Seattle",3,"United States",1,"Americas"
59,"Audrey Lastman",20,"Seattle",3,"United States",1,"Americas"
60,"Bart Scott",20,"Seattle",3,"United States",1,"Americas"
72,"Greg Belding",20,"Seattle",3,"United States",1,"Americas"
65,"Corey Wright",21,"Los Angeles",3,"United States",1,"Americas"
66,"Dale Fowler",21,"Los Angeles",3,"United States",1,"Americas"
67,"Lowell Johnson",21,"Los Angeles",3,"United States",1,"Americas"
68,"Margaret Lewiston",21,"Los Angeles",3,"United States",1,"Americas"
70,"Valerie Cohen",21,"Los Angeles",3,"United States",1,"Americas"
74,"Janice Thomas",21,"Los Angeles",3,"United States",1,"Americas"
61,"Julie Olsen",22,"Miami",3,"United States",1,"Americas"
62,"Ken Chambers",22,"Miami",3,"United States",1,"Americas"
63,"Chad Michaels",22,"Miami",3,"United States",1,"Americas"
64,"Maureen Hoffman",22,"Miami",3,"United States",1,"Americas"
73,"Harold Germaine",22,"Miami",3,"United States",1,"Americas"
75,"Julie Béchard",23,"Lyon",1,"France",6,"Central Europe"
76,"Florence Martin",23,"Lyon",1,"France",6,"Central Europe"
77,"Daniel Turpin",23,"Lyon",1,"France",6,"Central Europe"
78,"Frédéric Samson",23,"Lyon",1,"France",6,"Central Europe"
79,"Lucía Reyna",24,"Distrito Federal",20,"Mexico",1,"Americas"
80,"Ana Orozco",24,"Distrito Federal",20,"Mexico",1,"Americas"
81,"Gabriela Rojas",24,"Distrito Federal",20,"Mexico",1,"Americas"
83,"Machiko Iseya",25,"Shinjuku-ku",11,"Japan",4,"Asia Pacific"
85,"Genzo Imori",25,"Shinjuku-ku",11,"Japan",4,"Asia Pacific"
87,"Kazumi Uragome",26,"Osaka City",11,"Japan",4,"Asia Pacific"
88,"Masuzo Kakui",26,"Osaka City",11,"Japan",4,"Asia Pacific"
89,"Alice Walter",28,"Melbourne",16,"Australia",4,"Asia Pacific"
90,"Dave Smythe",28,"Melbourne",16,"Australia",4,"Asia Pacific"
91,"Donald Ward",28,"Melbourne",16,"Australia",4,"Asia Pacific"
92,"Jake Cartel",28,"Melbourne",16,"Australia",4,"Asia Pacific"
93,"John Sinden",28,"Melbourne",16,"Australia",4,"Asia Pacific"
94,"Yolanda Torres",29,"Bilbao",19,"Spain",7,"Southern Europe"
95,"Tomás Iglesias",29,"Bilbao",19,"Spain",7,"Southern Europe"
96,"Bayard Lopes",30,"São Paulo",21,"Brazil",1,"Americas"
97,"Viviam Barros",30,"São Paulo",21,"Brazil",1,"Americas"
98,"Eduardo Guimarães",30,"São Paulo",21,"Brazil",1,"Americas"
99,"Helena Lindholm",31,"Kuopio",22,"Finland",5,"Northern Europe"
100,"Tuomas Savolainen",31,"Kuopio",22,"Finland",5,"Northern Europe"
101,"Chang-ho Kim",32,"Seoul",13,"Korea",4,"Asia Pacific"
102,"Jung-ho Choi",32,"Seoul",13,"Korea",4,"Asia Pacific"
103,"Kwai-Ping Kwao",33,"San Chung",12,"Taiwan",4,"Asia Pacific"
104,"Chin-Tsai Fon",33,"San Chung",12,"Taiwan",4,"Asia Pacific"
105,"Xiangyong Wang",34,"Shanghai",14,"China",4,"Asia Pacific"
106,"Fei Meng",34,"Shanghai",14,"China",4,"Asia Pacific"
107,"Walter  Taylor",35,"London",9,"England",6,"Central Europe"
108,"Penelope Tamrine",35,"London",9,"England",6,"Central Europe"
109,"Humphrey Willoughby",35,"London",9,"England",6,"Central Europe"
110,"James Ross-Hythe",35,"London",9,"England",6,"Central Europe"
111,"Polly Linton",36,"Birmingham",9,"England",6,"Central Europe"
112,"Josef Lopez",36,"Birmingham",9,"England",6,"Central Europe"
113,"Keith Reed",36,"Birmingham",9,"England",6,"Central Europe"
114,"Janet Walker",36,"Birmingham",9,"England",6,"Central Europe"
115,"Emily Browne",36,"Birmingham",9,"England",6,"Central Europe"
116,"Susanne Sommer",37,"Zürich",8,"Switzerland",6,"Central Europe"
117,"Frank Jever",37,"Zürich",8,"Switzerland",6,"Central Europe"
118,"Gianni Vertemati",37,"Zürich",8,"Switzerland",6,"Central Europe"
119,"Gracy Gellens",38,"Heverlee",17,"Belgium",6,"Central Europe"
120,"Giele Laermans",38,"Heverlee",17,"Belgium",6,"Central Europe"
121,"François De Crée",38,"Heverlee",17,"Belgium",6,"Central Europe"
122,"Yvette Lattrez",38,"Heverlee",17,"Belgium",6,"Central Europe"
123,"Willi Seefelder",39,"Wien",5,"Austria",7,"Southern Europe"
124,"Sabine Grüner",39,"Wien",5,"Austria",7,"Southern Europe"
